"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-14","0.00",,"56","64","45"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-15","0.07",,"54","58",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-16","0.06",,"53","59",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-17","0.00",,"47","55",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-18","0.05",,"47",,"36"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-19","0.00",,"49",,"39"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-20","0.00",,"56","64","40"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-21","0.00",,"61","66","55"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-22","0.03",,"51","60",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-23","0.34",,"51","59","39"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-24","0.00",,"57","67","42"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-25","0.00",,"63","71","50"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-26","0.00",,"57","65",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-27","0.31",,"54",,"50"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-28","0.09",,"62","69","51"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-29","0.02",,"60","67","52"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-30","0.00",,"53","59",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-31","0.00",,"54","63","43"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-01","0.16",,"43",,
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-02","0.03",,"48","57","36"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-03","0.00",,"56","65","43"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-04","0.00",,"58","67",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-05","0.00",,"61",,"49"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-06","0.00",,"63","73","53"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-07","0.00",,"66",,"54"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-08","0.00",,"64","74","55"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-09","0.05",,"62","68","53"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-10","0.00",,"63","73","54"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-11","0.02",,"62","74","52"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-12","0.08",,"62","69",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-13","0.27",,"60","65",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-14","0.10",,"62","73","53"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-15","0.10",,"58","70",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-16","0.00",,"60",,"49"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-17","0.00",,"57",,"48"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-18","0.00",,"55","62",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-19","0.01",,"57","67","49"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-20","0.00",,"61","71","48"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-21","0.00",,"68","78","54"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-22","0.00",,"70","81",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-23","0.00",,"68","79","51"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-24","0.00",,"73","81","63"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-25","0.00",,"74","84","63"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-26","0.00",,"77","88",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-27","0.00",,"79","89","66"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-28","0.00",,"80","90","68"
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-29","0.00",,"78","88",
"IR000407540","TEHRAN MEHRABAD, IR","2016-04-30","0.00",,"72","80",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-01","0.00",,"74","83","61"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-02","0.00",,"71","83","62"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-03","0.00",,"71","83","59"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-04","0.00",,"76","86",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-05","0.00",,"77","89",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-06","0.00",,"70","84",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-07","0.13",,"74","84","60"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-08","0.08",,"73","83","61"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-09","0.00",,"71","84",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-10","0.00",,"70","83","56"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-11","0.09",,"65","80","56"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-12","0.05",,"67","75","57"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-13","0.02",,"72","81","56"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-14","0.00",,"77","87","66"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-15","0.00",,"80","92","66"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-16","0.00",,"84","95",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-17","0.00",,"83","93",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-18","0.00",,"83","94","71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-19","0.03",,"81","94",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-20","0.02",,"79","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-21","0.00",,"72","86",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-22","0.00",,"75","84","59"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-23","0.00",,"79","89","67"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-24","0.00",,"82",,"71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-25","0.00",,"78","85",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-26","0.00",,"78","87","65"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-27","0.00",,"81",,"69"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-28","0.00",,"85","96","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-29","0.00",,"87","97","74"
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-30","0.00",,"83","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-05-31","0.00",,"78","88",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-01","0.00",,"75","86",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-02","0.00",,"74","86",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-03","0.00",,"77","88","63"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-04","0.00",,"83",,"71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-05","0.00",,"86","95","76"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-06","0.00",,"87","96","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-07","0.00",,"89","99","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-08","0.00",,"85","94",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-09","0.00",,"84","96","68"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-10","0.00",,"86","97","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-11","0.00",,"89","100",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-12","0.00",,"79","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-13","0.00",,"74","85",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-14","0.00",,"77","86","62"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-15","0.00",,"81","90","70"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-16","0.00",,"86","95","71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-17","0.00",,"83","96",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-18","0.00",,"82","97",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-19","0.00",,"84",,"70"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-20","0.00",,"85",,"71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-21","0.00",,"85","95","71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-22","0.00",,"85","93","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-23","0.00",,"83","91","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-24","0.00",,"84","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-25","0.00",,"86","94","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-26","0.00",,"85",,
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-27","0.00",,"84","93","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-28","0.00",,"88","96","76"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-29","0.00",,"93","103","79"
"IR000407540","TEHRAN MEHRABAD, IR","2016-06-30","0.00",,"94","104","82"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-01","0.00",,"95","105",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-02","0.00",,"91","105",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-03","0.00",,"85","101",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-04","0.00",,"83","95","70"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-05","0.00",,"85","96","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-06","0.00",,"87","97",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-07","0.00",,"85",,"72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-08","0.00",,"88","99","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-09","0.00",,"88","99","76"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-10","0.00",,"89","98","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-11","0.00",,"91","101",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-12","0.00",,"83","99",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-13","0.00",,"81","94","68"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-14","0.00",,"86","95","71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-15","0.00",,"88","97","78"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-16","0.00",,"92","102",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-17","0.00",,"90","100","81"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-18","0.00",,"89","98","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-19","0.00",,"93","105","81"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-20","0.00",,"95","106","82"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-21","0.00",,"95","106","80"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-22","0.00",,"95","105",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-23","0.00",,"95","105",
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-24","0.00",,"92","103","78"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-25","0.00",,"93",,
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-26","0.00",,"87",,
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-27","0.00",,"85","99","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-28","0.00",,"87","96","74"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-29","0.00",,"84","95","74"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-30","0.00",,"85","92","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-07-31","0.00",,"88","98","78"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-01","0.00",,"89","98","78"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-02","0.00",,"88","96",
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-03","0.00",,"86","95",
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-04","0.00",,"87","97","74"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-05","0.00",,"87","96","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-06","0.00",,"86","96","76"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-07","0.00",,"87","97","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-08","0.00",,"88","97","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-09","0.00",,"89","99","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-10","0.00",,"87","97","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-11","0.00",,"88","98","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-12","0.00",,"91",,"79"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-13","0.00",,"91","101",
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-14","0.00",,"89","97","82"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-15","0.00",,"86","96",
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-16","0.00",,"83","91","74"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-17","0.00",,"83","91","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-18","0.00",,"83","92","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-19","0.00",,"84","94","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-20","0.00",,"83","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-21","0.00",,"82","90","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-22","0.00",,"82","91","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-23","0.00",,"83","91","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-24","0.00",,"83","92","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-25","0.00",,"82","92","71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-26","0.00",,"85","96","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-27","0.00",,"88","99","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-28","0.00",,"87","96","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-29","0.00",,"88","98","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-30","0.00",,"90",,"79"
"IR000407540","TEHRAN MEHRABAD, IR","2016-08-31","0.00",,"87","95","77"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-01","0.00",,"89","98",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-02","0.00",,"85","96",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-03","0.00",,"84","94","75"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-04","0.00",,"86","96","76"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-05","0.00",,"88","100",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-06","0.00",,"84","96","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-07","0.00",,"79","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-08","0.00",,"76","87",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-09","0.00",,"79","89","67"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-10","0.00",,"83","94","73"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-11","0.00",,"81","90","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-12","0.00",,"81","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-13","0.00",,"78","86","68"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-14","0.00",,"82","92","71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-15","0.00",,"85",,"72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-16","0.00",,"83","95","71"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-17","0.00",,"84","92","72"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-18","0.00",,"78","87","67"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-19","0.00",,"77","88","65"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-20","0.00",,"80","90","68"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-21","0.00",,"82","91","69"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-22","0.00",,"81",,"68"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-23","0.00",,"82","94","68"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-24","0.00",,"81","92",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-25","0.00",,"75","87",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-26","0.00",,"77","87","66"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-27","0.00",,"78","89","64"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-28","0.00",,"80","89","69"
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-29","0.00",,"69","79",
"IR000407540","TEHRAN MEHRABAD, IR","2016-09-30","0.00",,"67",,"56"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-01","0.00",,"64","74","54"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-02","0.00",,"61","67","54"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-03",,,"67","75","58"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-04","0.00",,"69",,"58"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-05","0.00",,"72","81","62"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-06","0.00",,"73","83","64"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-07","0.00",,"73","84","63"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-08","0.00",,"74","85","63"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-09","0.00",,"75","86","65"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-10","0.00",,"74","83",
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-11","0.00",,"72",,"63"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-12","0.00",,"71","82","62"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-13","0.00",,"71","81","59"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-14","0.00",,"70",,"60"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-15","0.00",,"71","79","62"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-16","0.00",,"67","77","55"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-17","0.00",,"67","79",
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-18","0.00",,"61","69","51"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-19","0.00",,"62","70","52"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-20","0.00",,"65","72","55"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-21","0.00",,"62","72",
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-22","0.00",,"60","66","51"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-23","0.00",,"61","70","53"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-24","0.00",,"61","68","52"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-25","0.02",,"60","64","52"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-26","0.00",,"62","68","54"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-27","0.00",,"65","74","55"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-28","0.00",,"67",,"57"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-29","0.00",,"67","75","60"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-30","0.00",,"67","76","60"
